ID,Type,Epic,Titre,UserStory,CriteresAcceptation,Priorite,Estimation,Dependances,Tracabilite,Statut
EPIC-01,Epic,,Socle technique & sécurité,Fondations applicatives auth et déploiement,,Must,,,,A faire
US-001,Story,EPIC-01,Scaffold du monorepo,"En tant qu'équipe technique je veux un monorepo structuré afin de démarrer sur des bases saines","Le scaffold web/api/shared compile lint et tests OK",Must,3,,docs/01-architecture,A faire
US-002,Story,EPIC-01,Schéma BDD pepite + core + RLS,"En tant qu'équipe technique je veux le schéma pepite greffé avec RLS afin d'avoir un modèle cloisonné","Migrations jouées rôle pepite_app et policies RLS présents; un client ne voit que son client_id",Must,5,US-001,docs/02-modele-donnees ADR-0001,A faire
US-003,Story,EPIC-01,Auth collaborateurs (Azure AD),"En tant que collaborateur je veux me connecter via Azure AD afin d'accéder sans nouveau mot de passe","JWT Supabase émis et rôle déduit du claim groups",Must,5,US-001 US-002,docs/04-securite-rgpd ADR-0002,A faire
US-004,Story,EPIC-01,Auth clients (email + MFA),"En tant que client je veux un compte email avec MFA afin d'accéder de façon sécurisée","Email de confirmation via Graph et MFA TOTP obligatoire; refus sans 2e facteur",Must,5,US-002,§4.2 docs/04-securite-rgpd,A faire
US-005,Story,EPIC-01,CI build/test,"En tant qu'équipe technique je veux un pipeline lint/test/build afin de garantir la qualité","Sur PR lint typecheck tests et build images réussissent",Should,3,US-001,docs/05-infrastructure-azure,A faire
US-006,Story,EPIC-01,Conteneurisation & déploiement,"En tant qu'équipe technique je veux Dockerfiles et compose afin de déployer sous /opt/stacks/pepite","Services sur 127.0.0.1 aux ports cibles sans collision",Should,5,US-001,docs/05-infrastructure-azure,A faire
EPIC-02,Epic,,Gestion des demandes de pièces,Missions checklists et demandes,,Must,,,,A faire
US-007,Story,EPIC-02,Créer une mission,"En tant que collaborateur je veux créer une mission afin d'organiser la collecte","Mission enregistrée avec type exercice et portefeuille",Must,3,US-002 US-003,§2.2,A faire
US-008,Story,EPIC-02,Paramétrer un template de checklist,"En tant que manager je veux définir les pièces attendues par type de mission afin de standardiser","Items libellé type obligatoire réutilisables",Must,5,US-002,EF-02,A faire
US-009,Story,EPIC-02,Créer une demande depuis un template,"En tant que collaborateur je veux générer une demande depuis un template afin de lancer la collecte","Checklist instanciée avec date d'échéance",Must,3,US-008,EF-02 §2.2,A faire
EPIC-03,Epic,,Dépôt & gestion des pièces,Dépôt client intégrité et validation,,Must,,,,A faire
US-010,Story,EPIC-03,Déposer un fichier (client),"En tant que client je veux déposer mes pièces afin de répondre à la demande","Upload via URL signée vers Blob item passe à reçue; rejet si >25Mo ou type invalide",Must,8,US-002 US-004,EF-01 docs/03-api ADR-0003,A faire
